"date","Mkt-RF","RMW","dDP","dTS","UNEXPI","RF"
"200505",3.65,-1.31,-0.0195837258566438,0.00841264135285678,-0.0872355069497918,0.233640819185754
"200506",0.57,0.98,-0.0408650341856245,-0.0351768758807158,0.033394561283807,0.24419348179574
"200507",3.92,-1.19,0.0341631624822873,0.127261628538773,0.122791710474897,0.264452783879476
"200508",-1.22,-2.23,0.0515955056058553,0.0872425751468235,0.232710627637992,0.282243797218129
"200509",0.49,0.49,-0.0699786252679494,-0.104728155201069,0.211670523378716,0.280627866376948
"200510",-2.02,-0.58,-0.118997536711495,-0.231242003582749,-0.0658884930545632,0.304030877682537
"200511",3.61,-0.6,-0.105758609992461,-0.0663490457631313,0.104994467694743,0.317722009866994
"200512",-0.25,0.12,-0.0469369661723744,0.116300113839886,0.0801293993287965,0.318526730828039
"200601",3.04,-0.94,-0.023200931483375,-0.0289009281345298,0.379156490469582,0.346647327196048
"200602",-0.3,-0.7,0.0659264178604015,0.240702528793921,-0.134336552711476,0.361876568744002
"200603",1.46,-0.04,0.0680115132744609,0.136036543251796,0.166894019417578,0.368281283577376
"200604",0.73,1.15,-0.0751870795447603,-0.0734282054232253,-0.277332003371306,0.375481218114615
"200605",-3.57,0.96,0.0653808098089942,0.239392493394189,-0.15321250438795,0.385072302357004
"200606",-0.35,1.38,-0.0866853507182334,-0.0997946974157855,0.0967927015180059,0.390662449984003
"200607",-0.78,1.54,-0.0135086788685954,-0.012193917490303,0.356702857521264,0.403427087358321
"200608",2.03,-1.74,-0.0206655917557667,-0.121281702266399,-0.0809337712519955,0.404224284774379
"200609",1.84,0.88,0.00291727139720004,0.154612782234661,-0.250327065070152,0.39225900629809
"200610",3.23,-0.22,0.0950878913343551,-0.0497895839101604,-0.506973525118292,0.401035077262524
"200611",1.71,0.09,-0.0241287522509532,-0.0263627167603476,0.301656244192184,0.402629820309475
"200612",0.87,-0.8,-0.00376649566138489,0.0724972969446655,-0.0842071926159077,0.395451281294235
"200701",1.4,0.22,-0.074029003311388,-0.0492220602814064,-0.000824648119477071,0.405818470758934
"200702",-1.96,-0.47,-0.00590897131469237,0.182460877763262,0.254203489371333,0.40980271803599
"200703",0.68,0.25,-0.0512957554407248,-0.0602134105268204,0.0646603328545597,0.402629820309475
"200704",3.49,1.02,-0.00442652155171822,-0.0693138560656047,-0.190925873814366,0.397047000180417
"200705",3.24,1.13,0.0974692008437508,-0.00120606142831703,-0.0830788083530924,0.385871104551461
